directory_category,post_content,location_address__street,location_address__city,location_address__address,location_address__lat,location_address__term_id,location_address__lng,location_address__zip,post_title,field_phone,field_social_accounts__facebook,field_website
Commerce et Service,Description à venir,Rue des Ormeaux,chimay,"Rue des Ormeaux, 6460 CHIMAY",50.047676,chimay,4.316089,6460.0,A Fleur De Peau,060/21 27 07,https://www.facebook.com/afleurdepeau.chimay/,A venir
Sports et Loisirs,Description à venir,"Rue de Virelles, 32",chimay,"Rue de Virelles, 32, 6460 CHIMAY",50.050329,chimay,4.326322,6460.0,A L'Air Libre,060/21 90 47,https://www.facebook.com/alairlibre,A venir
Commerce et Service,Description à venir,Chaussée de Couvin 95C 5,chimay,"Chaussée de Couvin 95C 5, 6460 CHIMAY",50.044725,chimay,4.331689,6460.0,Action,0,A venir,A venir
Commerce et Service,Description à venir,"Rue de Bourlers, 1a",chimay,"Rue de Bourlers, 1a, 6460 CHIMAY",50.047945,chimay,4.321365,6460.0,Ad Delhaize,060/21 23 90,A venir,A venir
Autre,Description à venir,Rue des Sartiaux 1,chimay,"Rue des Sartiaux 1, 6460 CHIMAY",50.047271,chimay,4.319074,6460.0,Adn Concept,060/41 12 81,A venir,A venir
Autre,Description à venir,"Chée de Couvin, 95",chimay,"Chée de Couvin, 95, 6460 CHIMAY",50.044725,chimay,4.331689,6460.0,Afflelou,060/21 93 40,https://www.facebook.com/alainafflelouchimay,A venir
Commerce et Service,Description à venir,Place des Princes 3,chimay,"Place des Princes 3, 6460 CHIMAY",50.048713,chimay,4.320224,6460.0,Agence Atipi,060/31 18 89,A venir,A venir
Commerce et Service,Description à venir,Ch. de Couvin,chimay,"Ch. de Couvin, 6460 CHIMAY",50.044804,chimay,4.330861,6460.0,Aldi,0,A venir,A venir
Commerce et Service,Description à venir,"Grand Place,31",chimay,"Grand Place,31, 6460 CHIMAY",50.049069,chimay,4.315669,6460.0,Anastasia,060/21 20 82,https://www.facebook.com/anastasiabijouterie/,http://bijouterie-anastasia.be/
Commerce et Service,Description à venir,"Place Chapitre, 5b",chimay,"Place Chapître, 5b, 6460 CHIMAY",50.049597,chimay,4.316536,6460.0,Appolin'Hair,060/21 21 40,https://www.facebook.com/apollinhair/,A venir
Sports et Loisirs,Description à venir,rue du lac 42,virelles,"rue du lac 42 , 6461 Virelles",50.067025,virelles,4.33907,6461.0,Aquascope Virelles,060/211363,https://www.facebook.com/Aquascope-Virelles-1308494265927976,https://www.aquascope.be
textile,Description à venir,Grand place 22,chimay,"Grand place 22, 6460 Chimay",50.049308,chimay,4.316318,6460.0,Atelier Ac,0485 07 12 50,https://www.facebook.com/AtelierAC,https://atelierac.be/
Autre,Description à venir,Avenue des Tilleuls,chimay,"Avenue des Tilleuls, 6460 CHIMAY",50.045709,chimay,4.306572,6460.0,Ateliers Coene-Marcoux,060/21 29 85,A venir,A venir
Commerce et Service,Description à venir,Rue Gare de Seloignes 178,villers-la-tour,"Rue Gare de Seloignes 178, 6460 VILLERS-LA-TOUR",50.014391,villers-la-tour,4.28894,6460.0,Au Coin Du Bois,060/51 25 08,A venir,A venir
Resto et Snack,Description à venir,Place du Prince,chimay,"Place du Prince, 6460 CHIMAY",50.048492,chimay,4.319744,6460.0,Au Paradis Des Saveurs,060/411360,https://www.facebook.com/Justinewackersboulangeriechimay,http://www.leparadisdessaveurs.be/
Commerce et Service,Description à venir,"Grand Place, 33",chimay,"Grand Place, 33, 6460 CHIMAY",50.048967,chimay,4.315641,6460.0,Au Parfum Des Sens,060/21 26 66,https://www.facebook.com/Au-parfum-des-sens-1505843646381355,http://www.parfumdessens.be/
Commerce et Service,Description à venir,Rue du Rond Point 291,forges,"Rue du Rond Point 291, 6464 forges",49.99371,forges,4.314161,6464.0,Au Petit Coin Des Saveurs,0472/233408,https://www.facebook.com/merciermari,A venir
Commerce et Service,Description à venir,"Chéé de Mons, 16",chimay,"Chéé de Mons, 16, 6460 CHIMAY",50.051611,chimay,4.309381,6460.0,Au Petit Marché,060/21 26 75,https://www.facebook.com/petitmarche1978/,A venir
Commerce et Service,Description à venir,"Poteaupré, 5",bourlers,"Poteaupré, 5, 6464 BOURLERS",49.988679,bourlers,4.342108,6464.0,Auberge De Poteaupre,060/21 14 33,A venir,A venir
Resto et Snack,Description à venir,"Poteaupré, 5",bourlers,"Poteaupré, 5, 6464 BOURLERS",49.988679,bourlers,4.342108,6464.0,Auberge De Poteaupre,060/21 14 33,https://www.facebook.com/poteaupre6464,A venir
Commerce et Service,Description à venir,Rue Neuf Maisons 8,vaulx,"Rue Neuf Maisons 8, 6462 VAULX",50.05225,vaulx,4.36322,6462.0,Aux Peupliers,0477/71 21 57,A venir,A venir
Sports et Loisirs,Description à venir,Zoning Industriel 4,baileux,"Zoning Industriel 4, 6464 BAILEUX",50.036027,baileux,4.37948,6464.0,Aveve,060 21 27 97,https://www.facebook.com/avevebaileux/,A venir
Banque et Finance,Description à venir,Rue de Bourlers 68,chimay,"Rue de Bourlers 68, 6460 CHIMAY",50.042419,chimay,4.327304,6460.0,Axa Banque,060/21 51 25,A venir,A venir
Commerce et Service,Description à venir,"Grande-Rue, 16",chimay,"Grande-Rue, 16, 6460 CHIMAY",50.048746,chimay,4.314245,6460.0,Bambino,060/21 37 20,A venir,A venir
Banque et Finance,Description à venir,"Grand-Place, 29",chimay,"Grand-Place, 29, 6460 CHIMAY",50.049059,chimay,4.315774,6460.0,Belfius,060/21 02 30,A venir,A venir
Sports et Loisirs,Description à venir,Rue de Bourlers,chimay,"Rue de Bourlers, 6460 Chimay",50.044922,chimay,4.324244,6460.0,Bella  Sante,060/212134,https://www.facebook.com/Bellasantechimay2011,https://www.bella-sante.be
Banque et Finance,Description à venir,Chaussée de Couvin 1,chimay,"Chaussée de Couvin 1, 6460 Chimay, Belgique",50.047389,chimay,4.319534,6460.0,Beobank,060/21 30 61,A venir,A venir
Commerce et Service,Description à venir,Rue de la Scierie 8,virelles,"Rue de la Scierie 8, 6461 VIRELLES",50.064804,virelles,4.344965,6461.0,Bertrand M-H,060/21 32 21,A venir,A venir
Commerce et Service,Description à venir,"Grand-place,2",chimay,"Grand-place,2, 6460 CHIMAY",50.048922,chimay,4.31468,6460.0,Bijouterie Benoit,060/21 13 35,A venir,A venir
Commerce et Service,"<img class=""alignnone size-full wp-image-3609"" src=""http://chimay-commerce.be/wp-content/uploads/2020/07/bothanet.jpg"" alt="""" width=""8256"" height=""5504"" />Description à venir",Rue du Pavillon 12,chimay,"Rue du Pavillon 12, 6460 CHIMAY",50.048309,chimay,4.318833,6460.0,Bothanet,060/51 29 02,A venir,A venir
Commerce et Service,Description à venir,Rue de Virelles 43,chimay,"Rue de Virelles 43, 6460 CHIMAY",50.049675,chimay,4.320747,6460.0,Boucherie Baire,060/21 36 13,A venir,https://boucheriebaire.be
Commerce et Service,Description à venir,Rue du Lac 18,virelles,"Rue du Lac 18, 6461 VIRELLES",50.066121,virelles,4.336,6461.0,Boucherie Du Lac,060/21 53 25 ,A venir,A venir
Commerce et Service,Description à venir,Rue de Noailles 5,chimay,"Rue de Noailles 5, 6460 CHIMAY",50.047943,chimay,4.318408,6460.0,Boucherie Lange,060/51 46 78,https://www.facebook.com/boucherielange,A venir
Commerce et Service,Description à venir,"Rue Saint-Nicolas, 17",chimay,"Rue Saint-Nicolas, 17, 6460 CHIMAY",50.048339,chimay,4.313448,6460.0,Boucherie Nicolas,0499/818633,https://www.facebook.com/Boucherie-Nicolas-103489001148776,A venir
Commerce et Service,Description à venir,"Rue des Déportés, 19",chimay,"Rue des Déportés, 19, 6460 CHIMAY",50.048419,chimay,4.309176,6460.0,Boulangerie,060/21 92 90,https://www.facebook.com/Boulangerie-Olivier-Brousmiche-311726619463224,A venir
Commerce et Service,Description à venir,"Rue du Lac, 1",virelles,"Rue du Lac, 1, 6461 VIRELLES",50.065198,virelles,4.334258,6461.0,Boulangerie Chauvaux,060/21 32 32,A venir,A venir
Commerce et Service,"Accueil du Château des Princes et visites

Boutique de souvenirs",Rue du Château 14,chimay,"Rue du Château 14, 6460 CHIMAY",50.049007,chimay,4.314408,6460.0,Boutique Du Château De Chimay,060/21.45.31,A venir,A venir
Resto et Snack,Description à venir,Place des Ormeaux 27,chimay,"Place des Ormeaux 27, 6460 CHIMAY",50.047791,chimay,4.316723,6460.0,Brasserie Du Casino,060/21 49 83,https://www.facebook.com/BrasserieDuCasinoChimay,A venir
textile,Description à venir,Rue Fernand Tilquin 18,lompret,"Rue Fernand Tilquin 18, 6463 LOMPRET",50.062087,lompret,4.378601,6463.0,C Vraiment Toi,060/21 44 84,https://www.facebook.com/C-vraiment-toi-1391029524493730,A venir
Resto et Snack,Description à venir,Rue de Chimay 7,virelles,"Rue de Chimay 7, 6461 VIRELLES",50.064806,virelles,4.333829,6461.0,Cafe Des Touristes,060/51 31 43,https://www.facebook.com/cafedestouristes.chimay/,A venir
Commerce et Service,Description à venir,"Allée du Prince, 6460 Chimay",chimay,"Camping communal de Chimay, Allée du Prince, 6460 Chimay, Belgique",50.045781,chimay,4.309699,6460.0,Camping Communal,0,A venir,A venir
Commerce et Service,Description à venir,"Rue de Bailièvre 1, 6460 Robechies",robechies,"Rue de Bailièvre 1, 6460 Robechies, Belgique",50.071247,robechies,4.259203,6460.0,Camping Et Pecherie Mon Reve,0,A venir,A venir
